model_version,run_id,hypothesis_id,outcome,test_name,p_value,p_value_adjusted,significant_adjusted,retry_count
claude-sonnet-4-6,1a561eec,H1,passed,t-test,0.9424568345674187,0.9424568345674187,False,1
claude-sonnet-4-6,1a561eec,H2,passed,chi-square,0.7816727880028884,0.9424568345674187,False,0
claude-sonnet-4-6,1a561eec,H3,passed,chi-square,0.2557514370662404,0.42625239511040064,False,0
claude-sonnet-4-6,1a561eec,H4,passed,anova,0.0,0.0,True,1
claude-sonnet-4-6,1a561eec,H5,passed,regression,1.5509122730532046e-25,3.8772806826330113e-25,True,1
claude-sonnet-4-6,af1481bd,H1,passed,t-test,0.9424568345674187,0.9424568345674187,False,1
claude-sonnet-4-6,af1481bd,H2,passed,chi-square,0.2557514370662404,0.42625239511040064,False,0
claude-sonnet-4-6,af1481bd,H3,passed,anova,0.0,0.0,True,1
claude-sonnet-4-6,af1481bd,H4,passed,regression,1.5509122730532046e-25,3.8772806826330113e-25,True,1
claude-sonnet-4-6,af1481bd,H5,passed,chi-square,0.7816727880028884,0.9424568345674187,False,0
claude-sonnet-4-6,d944159b,H1,passed,t-test,0.9424568345674187,0.9424568345674187,False,1
claude-sonnet-4-6,d944159b,H2,passed,regression,1.5509122730532046e-25,7.754561365266023e-25,True,1
claude-sonnet-4-6,d944159b,H3,passed,anova,0.8162279717479096,0.9424568345674187,False,1
claude-sonnet-4-6,d944159b,H4,passed,chi-square,0.2557514370662404,0.6393785926656009,False,0
claude-sonnet-4-6,d944159b,H5,passed,chi-square,0.608212312089253,0.9424568345674187,False,0
claude-sonnet-4-6,36ea8b07,H1,passed,t-test,0.9424568345674187,0.9424568345674187,False,1
claude-sonnet-4-6,36ea8b07,H2,passed,regression,1.5509122730532046e-25,3.8772806826330113e-25,True,1
claude-sonnet-4-6,36ea8b07,H3,passed,chi-square,0.7816727880028884,0.9424568345674187,False,0
claude-sonnet-4-6,36ea8b07,H4,passed,anova,0.0,0.0,True,1
claude-sonnet-4-6,36ea8b07,H5,passed,chi-square,0.2557514370662404,0.42625239511040064,False,0
claude-sonnet-4-6,dbdbd8d7,H1,passed,chi-square,0.2557514370662404,0.42625239511040064,False,0
claude-sonnet-4-6,dbdbd8d7,H2,passed,regression,1.5509122730532046e-25,3.8772806826330113e-25,True,1
claude-sonnet-4-6,dbdbd8d7,H3,passed,anova,0.0,0.0,True,1
claude-sonnet-4-6,dbdbd8d7,H4,passed,t-test,0.9424568345674187,0.9424568345674187,False,1
claude-sonnet-4-6,dbdbd8d7,H5,passed,chi-square,0.7816727880028884,0.9424568345674187,False,0
claude-sonnet-5,c93d384f,H1,passed,chi-square,0.2557514370662404,0.42625239511040064,False,0
claude-sonnet-5,c93d384f,H2,passed,anova,0.0,0.0,True,1
claude-sonnet-5,c93d384f,H3,passed,t-test,0.5429499880214155,0.6786874850267693,False,0
claude-sonnet-5,c93d384f,H4,passed,chi-square,0.7816727880028884,0.7816727880028884,False,0
claude-sonnet-5,c93d384f,H5,passed,regression,1.5509122730532046e-25,3.8772806826330113e-25,True,1
claude-sonnet-5,7b7d8423,H1,passed,chi-square,0.2557514370662404,0.6393785926656009,False,0
claude-sonnet-5,7b7d8423,H2,passed,anova,0.8162279717479096,0.8162279717479096,False,1
claude-sonnet-5,7b7d8423,H3,passed,regression,1.5509122730532046e-25,7.754561365266023e-25,True,1
claude-sonnet-5,7b7d8423,H4,passed,chi-square,0.608212312089253,0.7602653901115662,False,0
claude-sonnet-5,7b7d8423,H5,passed,t-test,0.5429499880214155,0.7602653901115662,False,0
claude-sonnet-5,bd48c2a9,H1,passed,chi-square,0.2557514370662404,0.42625239511040064,False,0
claude-sonnet-5,bd48c2a9,H2,passed,anova,0.8162279717479096,0.9424568345674187,False,1
claude-sonnet-5,bd48c2a9,H3,passed,regression,1.5509122730532046e-25,3.8772806826330113e-25,True,1
claude-sonnet-5,bd48c2a9,H4,passed,anova,0.0,0.0,True,1
claude-sonnet-5,bd48c2a9,H5,passed,t-test,0.9424568345674187,0.9424568345674187,False,1
claude-sonnet-5,04cbf330,H1,passed,chi-square,0.2557514370662404,0.42625239511040064,False,0
claude-sonnet-5,04cbf330,H2,passed,anova,0.0,0.0,True,1
claude-sonnet-5,04cbf330,H3,passed,regression,1.5509122730532046e-25,3.8772806826330113e-25,True,1
claude-sonnet-5,04cbf330,H4,passed,chi-square,0.7816727880028884,0.7816727880028884,False,0
claude-sonnet-5,04cbf330,H5,passed,t-test,0.5429499880214155,0.6786874850267693,False,0
claude-sonnet-5,c063b712,H1,passed,chi-square,0.2557514370662404,0.42625239511040064,False,0
claude-sonnet-5,c063b712,H2,passed,t-test,0.5429499880214155,0.6786874850267693,False,0
claude-sonnet-5,c063b712,H3,passed,anova,0.0,0.0,True,1
claude-sonnet-5,c063b712,H4,passed,chi-square,0.7816727880028884,0.7816727880028884,False,0
claude-sonnet-5,c063b712,H5,passed,regression,1.5509122730532046e-25,3.8772806826330113e-25,True,1
